Rank,Ticker,Name,Period,Group,EBIT_TTM,EnterpriseValue,EarningsYield,RoC,MarketCap_mnTL,NetDebt_mnTL,FinansmanGideri,Volume_mnUSD,EY_Rank,RoC_Rank,Magic_Score
1,ALVES,"ALVES - Alves Kablo 
	Hisse Senedi",2026/3,March,2261624580.0,8413100000.0,26.88,73.39,4416.0,3997.1,392214297.0,12.0,4.0,3.0,7.0
2,ATATP,"ATATP - ATP Bilgisayar 
	Hisse Senedi",2026/3,March,4827043819.0,22240500000.0,21.7,79.55,22687.5,-447.0,33989858.0,6.1,8.0,1.0,9.0
3,TRILC,"TRILC - Turk İlaç ve Serum Sanayi 
	Hisse Senedi",2026/3,March,1513118042.0,6640000000.0,22.79,54.79,2561.4,4078.6,40022171.0,6.1,7.0,6.0,13.0
4,AKFIS,"AKFIS - Akfen İnşaat 
	Hisse Senedi",2026/3,March,18958877127.0,60570600000.0,31.3,33.45,41187.0,19383.6,4152934000.0,9.1,3.0,13.0,16.0
5,ENJSA,"ENJSA - Enerjisa Enerji 
	Hisse Senedi",2026/3,March,40432208570.0,202250900000.00003,19.99,38.04,132161.6,70089.3,8255714000.0,9.9,9.0,10.0,19.0
6,KARSN,"KARSN - Karsan Otomotiv 
	Hisse Senedi",2026/3,March,3613503883.0,20143300000.0,17.94,57.61,11835.0,8308.3,242692000.0,5.4,15.0,5.0,20.0
7,MAVI,"MAVI - Mavi Giyim Sanayi Tic.A.S 
	Hisse Senedi",2025/12,December,5644768000.0,28708500000.0,19.66,36.97,32765.7,-4057.2,3725929000.0,5.8,10.0,11.0,21.0
8,LMKDC,"LMKDC - Limak Doğu Anadolu Çimento 
	Hisse Senedi",2026/3,March,3115135920.0,16521599999.999998,18.85,35.18,18840.6,-2319.0,272085000.0,5.4,13.0,12.0,25.0
9,TCELL,"TCELL - Turkcell 
	Hisse Senedi",2026/3,March,71909823953.0,312257300000.0,23.03,21.25,225720.0,86537.3,3468997000.0,50.9,6.0,23.0,29.0
10,TTKOM,"TTKOM - Türk Telekom 
	Hisse Senedi",2026/3,March,56339294428.0,325892600000.0,17.29,27.39,213500.0,112392.6,786641000.0,22.6,17.0,20.0,37.0
11,TAVHL,"TAVHL - TAV Holding 
	Hisse Senedi",2026/3,March,18100956072.0,93366900000.00002,19.39,18.42,93363.3,3.6,2753970000.0,19.6,11.0,27.0,38.0
12,FORTE,"FORTE - Forte Bilgi İletişim 
	Hisse Senedi",2026/3,March,753687650.0,8112100000.0,9.29,58.55,6408.6,1703.5,53031587.0,5.8,34.0,4.0,38.0
13,CCOLA,"CCOLA - Coca-Cola İçecek A.Ş 
	Hisse Senedi",2026/3,March,30852396708.0,254285199999.99997,12.13,30.14,228043.4,26241.8,502260000.0,9.0,23.0,17.0,40.0
14,ULKER,"ULKER - Ülker Bisküvi 
	Hisse Senedi",2026/3,March,15979553928.0,83883799999.99998,19.05,16.45,42799.1,41084.7,2844849000.0,17.6,12.0,33.0,45.0
15,YEOTK,"YEOTK - YEO Teknoloji 
	Hisse Senedi",2026/3,March,3918537084.0,46555900000.0,8.42,38.93,39866.5,6689.4,1639791253.0,24.3,37.0,9.0,46.0
16,DOHOL,"DOHOL - Doğan Holding 
	Hisse Senedi",2026/3,March,13002990873.0,19452200000.000004,66.85,13.22,58882.4,-39430.2,5615452000.0,6.0,1.0,46.0,47.0
17,TRMET,"TRMET - TR Anadolu Metal 
	Hisse Senedi",2026/3,March,7210896375.0,19372800000.000004,37.22,13.41,43387.3,-24014.5,2514529000.0,15.2,2.0,45.0,47.0
18,FONET,"FONET - Fonet Bilgi Teknolojileri 
	Hisse Senedi",2026/3,March,324097795.0,5205599999.999999,6.23,78.65,5288.4,-82.8,18600640.0,10.3,47.0,2.0,49.0
19,AEFES,"AEFES - Anadolu Efes 
	Hisse Senedi",2026/3,March,31456170025.0,179051600000.0,17.57,16.34,114927.6,64124.0,1215917000.0,18.7,16.0,34.0,50.0
20,MPARK,"MPARK - MLP Sağlık Hizmetleri 
	Hisse Senedi",2026/3,March,11257404252.0,103074500000.0,10.92,21.06,87961.1,15113.4,363976000.0,6.7,28.0,24.0,52.0
21,FRMPL,"FRMPL - Formül Plastik 
	Hisse Senedi",2026/3,March,747318442.0,6624700000.0,11.28,19.99,6643.2,-18.5,103244209.0,5.1,26.0,26.0,52.0
22,GESAN,"GESAN - Girişim Elektrik 
	Hisse Senedi",2026/3,March,4396110030.0,37238400000.0,11.81,17.26,32660.0,4578.4,1330760000.0,14.8,24.0,29.0,53.0
