Rank,Ticker,Name,Period,Group,EBIT_TTM,EBIT_Estimated,EnterpriseValue,EarningsYield,RoC,MarketCap_mnTL,NetDebt_mnTL,FinansmanGideri,Volume_mnUSD,EY_Rank,RoC_Rank,Magic_Score
1,ALVES,"ALVES - Alves Kablo 
	Hisse Senedi",2026/3,March,2261624580.0,False,7613100000.0,29.71,73.39,3616.0,3997.1,392214297.0,6.7,3.0,4.0,7.0
2,ESCOM,"ESCOM - Escort Teknoloji 
	Hisse Senedi",2026/3,March,2291914341.0,False,3628800000.0,63.16,60.45,3629.9,-1.1,333175966.0,5.9,2.0,5.0,7.0
3,ATATP,"ATATP - ATP Bilgisayar 
	Hisse Senedi",2026/3,March,4827043819.0,False,20956100000.0,23.03,79.55,21403.1,-447.0,33989858.0,8.9,8.0,2.0,10.0
4,AKFIS,"AKFIS - Akfen İnşaat 
	Hisse Senedi",2026/3,March,18958877127.0,False,78585900000.0,24.13,33.45,59202.3,19383.6,4152934000.0,7.1,5.0,11.0,16.0
5,KARSN,"KARSN - Karsan Otomotiv 
	Hisse Senedi",2026/3,March,3613503883.0,False,17263300000.0,20.93,57.61,8955.0,8308.3,242692000.0,5.9,11.0,6.0,17.0
6,ENJSA,"ENJSA - Enerjisa Enerji 
	Hisse Senedi",2026/3,March,40432208570.0,False,199416400000.00003,20.28,38.04,129327.1,70089.3,8255714000.0,5.9,12.0,10.0,22.0
7,TCELL,"TCELL - Turkcell 
	Hisse Senedi",2026/3,March,71909823953.0,False,309837300000.0,23.21,21.25,223300.0,86537.3,3468997000.0,54.9,7.0,22.0,29.0
8,TTKOM,"TTKOM - Türk Telekom 
	Hisse Senedi",2026/3,March,56339294428.0,False,289842600000.0,19.44,27.39,177450.0,112392.6,786641000.0,40.3,13.0,19.0,32.0
9,BRLSM,"BRLSM - Birlesim Mühendislik 
	Hisse Senedi",2026/3,March,520845724.0,False,3947300000.0,13.19,29.15,3393.6,553.7,113794216.0,5.9,19.0,17.0,36.0
10,TAVHL,"TAVHL - TAV Holding 
	Hisse Senedi",2026/6,June,21163374874.0,False,97272200000.00002,21.76,19.28,97268.6,3.6,5232993000.0,22.3,9.0,27.0,36.0
11,ARDYZ,"ARDYZ - ARD Grup Bilişim 
	Hisse Senedi",2026/3,March,1738280792.0,False,23220899999.999996,7.49,266.05,21866.3,1354.6,343404231.0,7.2,39.0,1.0,40.0
12,YEOTK,"YEOTK - YEO Teknoloji 
	Hisse Senedi",2026/3,March,3918537084.0,False,39704400000.0,9.87,38.93,33015.0,6689.4,1639791253.0,30.1,31.0,9.0,40.0
13,CCOLA,"CCOLA - Coca-Cola İçecek A.Ş 
	Hisse Senedi",2026/3,March,30852396708.0,False,279467900000.0,11.04,30.14,253226.1,26241.8,502260000.0,11.5,27.0,14.0,41.0
14,FRMPL,"FRMPL - Formül Plastik 
	Hisse Senedi",2026/3,March,747318442.0,False,4743100000.0,15.76,19.99,4761.6,-18.5,103244209.0,6.4,16.0,26.0,42.0
15,ULKER,"ULKER - Ülker Bisküvi 
	Hisse Senedi",2026/3,March,15979553928.0,False,73544000000.0,21.73,16.45,32459.3,41084.7,2844849000.0,14.2,10.0,32.0,42.0
16,MPARK,"MPARK - MLP Sağlık Hizmetleri 
	Hisse Senedi",2026/3,March,11257404252.0,False,91566000000.0,12.29,21.06,76452.6,15113.4,363976000.0,6.8,22.0,23.0,45.0
17,FONET,"FONET - Fonet Bilgi Teknolojileri 
	Hisse Senedi",2026/3,March,324097795.0,False,4578500000.0,7.08,78.65,4661.3,-82.8,18600640.0,5.4,44.0,3.0,47.0
18,DOHOL,"DOHOL - Doğan Holding 
	Hisse Senedi",2026/3,March,13002990873.0,False,16207100000.000006,80.23,13.22,55637.3,-39430.2,5615452000.0,5.3,1.0,46.0,47.0
19,TRMET,"TRMET - TR Anadolu Metal 
	Hisse Senedi",2026/3,March,7210896375.0,False,25737400000.0,28.02,13.41,49751.9,-24014.5,2514529000.0,13.7,4.0,44.0,48.0
20,AEFES,"AEFES - Anadolu Efes 
	Hisse Senedi",2026/3,March,31456170025.0,False,194860800000.0,16.14,16.34,130736.8,64124.0,1215917000.0,16.5,15.0,33.0,48.0
21,GUBRF,"GUBRF - Gübre Fabrikaları 
	Hisse Senedi",2026/3,March,12333742071.0,False,129398800000.0,9.53,29.9,133934.0,-4535.2,1792705823.0,25.5,33.0,16.0,49.0
22,PAHOL,"PAHOL - Pasifik Holding 
	Hisse Senedi",2026/3,March,6237313833.0,False,26602400000.0,23.45,13.0,26600.0,2.4,28771086.0,12.5,6.0,47.0,53.0
23,GESAN,"GESAN - Girişim Elektrik 
	Hisse Senedi",2026/3,March,4396110030.0,False,39262400000.0,11.2,17.26,34684.0,4578.4,1330760000.0,30.7,24.0,29.0,53.0
24,NETCD,"NETCD - Netcad Yazılım 
	Hisse Senedi",2026/3,March,1013929710.0,False,15554200000.0,6.52,51.82,16577.0,-1022.8,103396170.0,26.0,47.0,7.0,54.0
25,OYAKC,"OYAKC - Oyak Çimento 
	Hisse Senedi",2026/3,March,11289729911.0,False,91631200000.0,12.32,16.3,101705.8,-10074.6,1303322000.0,8.9,21.0,34.0,55.0
26,DOAS,"DOAS - Doğuş Otomotiv 
	Hisse Senedi",2026/3,March,11348714738.0,False,67511700000.0,16.81,13.6,39930.0,27581.7,1750727000.0,5.5,14.0,41.0,55.0
27,LINK,"LINK - Link Bilgisayar 
	Hisse Senedi",2026/3,March,334771003.0,False,4312800000.0,7.76,28.87,4958.2,-645.4,61925934.0,7.1,38.0,18.0,56.0
28,FROTO,"FROTO - Ford Otosan 
	Hisse Senedi",2026/3,March,41651075234.0,False,375586400000.0,11.09,16.57,269148.0,106438.4,3618145000.0,48.5,26.0,31.0,57.0
29,EMPAE,"EMPAE - Empa Elektronik 
	Hisse Senedi",2026/3,March,550167085.0,False,7842300000.000001,7.02,30.63,8238.2,-395.9,107397829.0,17.6,45.0,13.0,58.0
30,GLRMK,"GLRMK - Gülermak Ağır Sanayi 
	Hisse Senedi",2026/3,March,6081082918.0,False,50031900000.0,12.15,13.66,47712.5,2319.4,1138282360.0,18.9,23.0,40.0,63.0
31,SARKY,"SARKY - Sarkuysan 
	Hisse Senedi",2026/3,March,2871776450.0,False,33982400000.0,8.45,16.84,23440.0,10542.4,658173288.0,7.0,34.0,30.0,64.0
32,MEYSU,"MEYSU - Meysu Gıda 
	Hisse Senedi",2026/3,March,864585315.0,False,10273500000.0,8.42,15.9,9726.6,546.9,132366221.0,9.7,35.0,35.0,70.0
33,GENIL,"GENIL - Gen İlaç 
	Hisse Senedi",2026/3,March,2580886608.0,False,44166900000.0,5.84,22.6,40725.0,3441.9,522595126.0,12.7,53.0,21.0,74.0
34,GENKM,"GENKM - Gentaş Kimya 
	Hisse Senedi",2026/3,March,777859997.0,False,5653100000.0,13.76,10.99,6358.0,-704.9,116633901.0,11.7,18.0,57.0,75.0
35,TUPRS,"TUPRS - Tüpraş 
	Hisse Senedi",2026/3,March,52128898601.0,False,480210899999.99994,10.86,12.79,554917.1,-74706.2,8286069000.0,130.9,28.0,48.0,76.0
36,KATMR,"KATMR - Katmerciler Araç Üstü Ekipman 
	Hisse Senedi",2026/3,March,939733337.0,False,6777799999.999999,13.86,9.28,4758.7,2019.1,176258308.0,6.5,17.0,61.0,78.0
37,EUPWR,"EUPWR - Europower Enerji 
	Hisse Senedi",2026/3,March,3178246421.0,False,59170500000.0,5.37,20.37,56661.0,2509.5,469359000.0,60.6,55.0,25.0,80.0
38,GWIND,"GWIND - Galata Wind Enerji 
	Hisse Senedi",2026/3,March,1625002989.0,False,14628800000.000002,11.11,11.21,13035.6,1593.2,68641895.0,5.3,25.0,56.0,81.0
39,CWENE,"CWENE - Cw Enerji 
	Hisse Senedi",2026/6,June,3380143522.0,False,47489800000.0,7.12,14.86,38063.6,9426.2,857077060.0,31.5,43.0,38.0,81.0
40,ASTOR,"ASTOR - Astor Enerji 
	Hisse Senedi",2026/3,March,11788580357.0,False,278360300000.0,4.24,29.96,286925.0,-8564.7,2521778728.0,230.2,66.0,15.0,81.0
41,MIATK,"MIATK - Mia Teknoloji 
	Hisse Senedi",2026/3,March,624105916.0,False,16387300000.0,3.81,30.99,15215.2,1172.1,342236644.0,38.3,71.0,12.0,83.0
42,RYSAS,"RYSAS - Reysaş Taşımacılık 
	Hisse Senedi",2026/3,March,4816316913.0,False,49783900000.0,9.67,11.35,45800.0,3983.9,556649955.0,5.4,32.0,54.0,86.0
43,TRALT,"TRALT - Türk Altın 
	Hisse Senedi",2026/3,March,7526283983.0,False,123778000000.0,6.08,14.96,147891.5,-24113.5,2316534000.0,125.2,50.0,37.0,87.0
44,AKSA,"AKSA - Aksa 
	Hisse Senedi",2026/3,March,5264140332.0,False,66953700000.0,7.86,12.64,47863.2,19090.5,118590000.0,6.8,37.0,50.0,87.0
45,TUKAS,"TUKAS - Tukaş 
	Hisse Senedi",2026/3,March,1898196762.0,False,14949800000.0,12.7,8.45,8865.0,6084.8,291931682.0,6.0,20.0,67.0,87.0
46,SMRTG,"SMRTG - Smart Güneş Enerjisi 
	Hisse Senedi",2026/3,March,1442734972.0,False,30712000000.0,4.7,14.29,20175.8,10536.2,204340477.0,15.0,59.0,39.0,98.0
47,KCAER,"KCAER - Kocaer Çelik Sanayi 
	Hisse Senedi",2026/3,March,1963602498.0,False,31224200000.0,6.29,11.52,28284.5,2939.7,456041671.0,6.9,48.0,53.0,101.0
48,ENKAI,"ENKAI - Enka İnşaat 
	Hisse Senedi",2026/3,March,32859951146.0,False,327677800000.0,10.03,7.62,511500.0,-183822.2,1631482000.0,23.1,30.0,73.0,103.0
49,TABGD,"TABGD - Tab Gıda 
	Hisse Senedi",2026/3,March,3757214885.0,False,62241100000.0,6.04,12.47,62030.7,210.4,665753000.0,5.2,51.0,52.0,103.0
50,ASELS,"ASELS - Aselsan 
	Hisse Senedi",2026/3,March,52937460614.0,False,1561084100000.0,3.39,17.35,1539000.0,22084.1,8383053000.0,250.8,75.0,28.0,103.0
51,EFOR,"EFOR - Efor Yat. San. 
	Hisse Senedi",2026/3,March,1178741408.0,False,47484700000.0,2.48,20.78,46522.1,962.6,86625708.0,35.1,81.0,24.0,105.0
52,CIMSA,"CIMSA - Çimsa 
	Hisse Senedi",2026/3,March,4923263508.0,False,67081299999.999985,7.34,8.72,43705.2,23376.1,706366000.0,7.0,41.0,65.0,106.0
53,ALKLC,"ALKLC - Altınkılıç Gıda 
	Hisse Senedi",2026/3,March,921518428.0,False,46678900000.0,1.97,26.91,44352.0,2326.9,267034811.0,10.6,88.0,20.0,108.0
54,THYAO,"THYAO - Türk Hava Yolları 
	Hisse Senedi",2026/3,March,99606103396.0,False,955786000000.0,10.42,6.03,425385.0,530401.0,14407000000.0,325.6,29.0,79.0,108.0
55,ATATR,"ATATR - Ata Turizm 
	Hisse Senedi",2026/3,March,564639314.0,False,8338900000.0,6.77,9.03,11143.5,-2804.6,42526464.0,19.1,46.0,64.0,110.0
56,CGCAM,"CGCAM - Çağdaş Cam 
	Hisse Senedi",2026/3,March,448798211.0,False,6008800000.0,7.47,7.83,6508.3,-499.5,212360771.0,6.7,40.0,71.0,111.0
57,AKSEN,"AKSEN - Aksa Enerji 
	Hisse Senedi",2026/3,March,10268075696.0,False,171874300000.0,5.97,9.69,118954.8,52919.5,1778792921.0,15.3,52.0,60.0,112.0
58,HEDEF,"HEDEF - Hedef Holding 
	Hisse Senedi",2026/3,March,2707061528.0,False,855008300000.0,0.32,41.29,855000.0,8.3,117470805.0,7.7,104.0,8.0,112.0
59,SDTTR,"SDTTR - SDT Uzay 
	Hisse Senedi",2026/3,March,407938560.0,False,13178300000.000002,3.1,15.26,12754.2,424.1,93309771.0,8.0,77.0,36.0,113.0
60,ENERY,"ENERY - Enerya Enerji 
	Hisse Senedi",2026/3,March,6413895515.0,False,76657400000.0,8.37,6.84,82080.0,-5422.6,1250790206.0,12.7,36.0,77.0,113.0
61,SELEC,"SELEC - Selçuk Ecza Deposu 
	Hisse Senedi",2026/3,March,4802426826.0,False,126215100000.0,3.8,13.47,133515.0,-7299.9,1066703084.0,14.2,72.0,42.0,114.0
62,MEGMT,"MEGMT - Mega Metal 
	Hisse Senedi",2026/3,March,968410938.0,False,25314900000.0,3.83,12.65,18974.0,6340.9,215930876.0,11.5,70.0,49.0,119.0
63,ISKPL,"ISKPL - Işıklar Plastik 
	Hisse Senedi",2026/3,March,472225662.0,False,13474600000.0,3.5,12.6,11670.0,1804.6,97351408.0,23.2,73.0,51.0,124.0
